date,year,threshold_c,component_count_28c,canonical_area_km2,canonical_sst_area_integral_c_km2,canonical_mean_sst_c,canonical_centroid_lon_360,canonical_centroid_lat,lcc_area_km2,lcc_sst_area_integral_c_km2,lcc_mean_sst_c,lcc_centroid_lon_360,lcc_centroid_lat,yan_gt28_area_km2,yan_gt28_sst_area_integral_c_km2,yan_gt28_mean_sst_c,yan_gt28_centroid_lon_360,yan_gt28_centroid_lat,yan_ge28_sensitivity_area_km2,yan_ge28_sensitivity_sst_area_integral_c_km2,yan_ge28_sensitivity_mean_sst_c,yan_ge28_sensitivity_centroid_lon_360,yan_ge28_sensitivity_centroid_lat,lcc_minus_yan_gt28_area_km2,lcc_minus_yan_gt28_mean_sst_c,canonical_minus_yan_gt28_area_km2,lcc_yan_gt28_centroid_distance_km,lcc_yan_gt28_intersection_area_km2,lcc_yan_gt28_union_area_km2,lcc_yan_gt28_area_jaccard,lcc_area_outside_yan_box_km2,lcc_area_outside_yan_box_fraction,yan_gt28_area_outside_lcc_km2,yan_gt28_area_outside_lcc_fraction,canonical_area_outside_yan_box_km2,canonical_area_outside_yan_box_fraction,yan_operator_sensitivity_area_km2,yan_operator_sensitivity_mean_sst_c
2002-01-01,2002,28,53,27466748.8973,797937456.025,29.0510339978,161.711636059,-4.99644156173,25360788.9217,738205277.187,29.1081353765,158.149099736,-5.3991224692,23104021.8765,673564415.955,29.153556881,160.082218274,-4.37770111951,23216645.2307,676717869.874,29.147961006,,,2256767.04519,-0.0454215044739,4362727.02086,242.4208169,22693640.8457,25771169.9525,0.880582483742,2572836.64817,0.101449393239,410381.030794,0.0177623200405,4303904.66159,0.156695088948,112623.35424,-0.00559587502634
2002-01-02,2002,28,56,27442756.4086,796995488.953,29.0421077638,160.674759552,-4.67621258214,25067911.4399,729597767.327,29.1048486061,157.489344072,-5.08658382448,23172702.5,675067025.179,29.1319937835,159.590793963,-4.14983829052,23268019.0109,677735887.482,29.1273566162,,,1895208.93982,-0.0271451774705,4270053.90857,255.1400722,22794684.5138,25445929.4261,0.895808682488,2194724.22148,0.0875511399004,378017.986203,0.0163130729445,4230043.70622,0.154140627976,95316.5108303,-0.00463716733593
2002-01-03,2002,28,51,28142061.1272,817259038.492,29.040482671,160.94267475,-4.77392114591,25545955.2794,743698207.039,29.1121705532,157.440743807,-5.12466907518,23476149.5557,683973539.132,29.1348262844,159.678191468,-3.97533213734,23582699.2856,686956931.568,29.1296989903,,,2069805.72375,-0.02265573122,4665911.57153,278.997056873,22938330.5755,26083774.2597,0.879409948389,2520792.3548,0.0986767700495,537818.980215,0.02290916485,4616967.6953,0.164059330069,106549.729869,-0.00512729406362
2002-01-04,2002,28,47,28835834.9985,835352590.494,28.9692526864,162.334282573,-5.03113321485,26174861.3081,760036866.884,29.036901397,158.355926406,-5.15138171477,24029492.4362,698133409.247,29.0531899956,160.791113047,-4.00119491077,24159240.9206,701766366.811,29.0475337829,,,2145368.87196,-0.0162885986364,4806342.56228,298.680538873,23490736.6786,26713617.0657,0.879354398948,2576898.93072,0.0984493824204,538755.757612,0.022420604973,4735713.00577,0.164230132612,129748.48443,-0.00565621271791
2002-01-05,2002,28,51,29047780.6405,839898597.326,28.9143810235,162.666014572,-5.19125148994,26517338.8811,768212416.501,28.9701926708,158.752515242,-5.05898953686,24460166.5815,708950311.996,28.9838709657,161.146086951,-3.96136844142,24585364.5465,712455855.016,28.978860723,,,2057172.29965,-0.0136782949221,4587614.05902,292.050608638,23852326.1316,27125179.3309,0.879342615237,2558582.45757,0.0964871501264,607840.449828,0.024850217099,4519243.68247,0.155579654721,125197.965016,-0.00501024267953
2002-01-06,2002,28,50,29412085.3165,849927587.135,28.8972229609,163.636164227,-5.61156084958,27305632.5989,790339479.681,28.9441922584,160.495079499,-5.84989611436,24576970.4413,711993268.603,28.9699363192,161.544527062,-4.34666119839,24715883.6052,715882837.191,28.9644848886,,,2728662.15759,-0.0257440607487,4835114.87513,203.590079471,24114373.9583,27768229.0819,0.868415983143,3082723.91901,0.112896996905,462596.483013,0.0188223558358,4753028.20463,0.161601197382,138913.163842,-0.00545143054446
2002-01-07,2002,28,42,29613874.9537,855607772.351,28.8921248465,165.313836737,-6.03175750826,28515389.3248,824506244.776,28.9144305689,163.627967724,-6.52014111051,24597105.2326,712428754.534,28.9639267628,162.752374185,-4.76028711045,24715557.3788,715745414.626,28.9593070331,,,3918284.09218,-0.0494961939191,5016769.72109,218.358464431,24329994.9888,28782499.5686,0.845305145608,4082832.66202,0.143179972594,267110.243814,0.0108594178578,4958232.27651,0.167429364926,118452.146158,-0.00461972967235
2002-01-08,2002,28,29,30156162.2425,872224766.247,28.9235997351,165.087304572,-6.09769631702,29309096.4148,848273405.409,28.9423253929,163.815190252,-6.47483454086,25071981.5035,726871121.635,28.9913711659,162.64420235,-4.71470440652,25183916.392,730005298.511,28.9869648211,,,4237114.91123,-0.0490457730181,5084180.73895,234.727716842,24936654.0679,29444423.8504,0.84690582484,4263488.50429,0.145466391865,135327.435599,0.00539755645481,5032160.55209,0.166870058319,111934.888432,-0.0044063448722
2002-01-09,2002,28,37,30506510.6457,884090243.04,28.980379084,165.781392221,-6.26179722475,28334568.1497,822517456.328,29.028762746,163.510761018,-6.77838133991,25087288.3222,729079999.065,29.0617299766,163.29479842,-4.90389736277,25191490.9374,731997672.291,29.0573382143,,,3247279.82756,-0.0329672306775,5419222.32348,209.797823112,24344003.8468,29077852.6252,0.837200881391,3900708.40817,0.137666061736,743284.475428,0.0296279321178,5376470.762,0.17624010902,104202.615219,-0.00439176230169
2002-01-10,2002,28,40,30568145.5376,887078797.537,29.0197125778,165.153669233,-6.01764968138,27985550.0327,813682941.904,29.0751098675,161.627630629,-6.10315956453,25343260.117,737497062.873,29.1003232998,163.114207621,-4.86427570837,25451791.3582,740535937.629,29.0956313136,,,2642289.91574,-0.025213432228,5224885.42059,214.594234801,24755492.1487,28573318.001,0.866384931137,3139678.78902,0.112189282875,587767.9683,0.0231922793511,5178573.59268,0.169410787001,108531.241289,-0.00469198618915
